Time	Amplitude
1,544630750E+3	4,365065339E-2
1,544630800E+3	4,236152732E-2
1,544630850E+3	4,026669747E-2
1,544630900E+3	3,833300839E-2
1,544630950E+3	4,203924580E-2
1,544631000E+3	4,010555671E-2
1,544631050E+3	4,042783823E-2
1,544631100E+3	4,058897898E-2
1,544631150E+3	4,187810505E-2
1,544631200E+3	4,268380884E-2
1,544631250E+3	4,252266808E-2
1,544631300E+3	4,236152732E-2
1,544631350E+3	4,493977947E-2
1,544631400E+3	4,123354201E-2
1,544631450E+3	4,075011974E-2
1,544631500E+3	4,445635719E-2
1,544631550E+3	4,719575011E-2
1,544631600E+3	4,284494960E-2
1,544631650E+3	4,026669747E-2
1,544631700E+3	4,477863871E-2
1,544631750E+3	4,058897898E-2
1,544631800E+3	4,010555671E-2
1,544631850E+3	4,526206098E-2
1,544631900E+3	4,171696429E-2
1,544631950E+3	4,316723111E-2
1,544632000E+3	4,220038656E-2
1,544632050E+3	4,655118707E-2
1,544632100E+3	4,187810505E-2
1,544632150E+3	4,751803163E-2
1,544632200E+3	4,800145392E-2
1,544632250E+3	4,848487620E-2
1,544632300E+3	4,558434251E-2
1,544632350E+3	4,880715773E-2
1,544632400E+3	4,993514306E-2
1,544632450E+3	4,703460935E-2
1,544632500E+3	5,235225452E-2
1,544632550E+3	5,041856535E-2
1,544632600E+3	5,154655070E-2
1,544632650E+3	5,783104055E-2
1,544632700E+3	5,267453604E-2
1,544632750E+3	5,654191442E-2
1,544632800E+3	5,783104055E-2
1,544632850E+3	5,493050675E-2
1,544632900E+3	5,879788516E-2
1,544632950E+3	5,815332209E-2
1,544633000E+3	6,347096747E-2
1,544633050E+3	6,363210824E-2
1,544633100E+3	6,153727823E-2
1,544633150E+3	6,991659838E-2
1,544633200E+3	6,588807905E-2
1,544633250E+3	7,040002071E-2
1,544633300E+3	6,733834600E-2
1,544633350E+3	7,281713235E-2
1,544633400E+3	7,829591881E-2
1,544633450E+3	7,716793335E-2
1,544633500E+3	7,684565179E-2
1,544633550E+3	8,022960818E-2
1,544633600E+3	8,731980266E-2
1,544633650E+3	8,893121052E-2
1,544633700E+3	9,295973023E-2
1,544633750E+3	9,086489997E-2
1,544633800E+3	1,015001922E-1
1,544633850E+3	1,015001922E-1
1,544633900E+3	9,457113813E-2
1,544633950E+3	1,085903873E-1
1,544634000E+3	1,185811171E-1
1,544634050E+3	1,127800482E-1
1,544634100E+3	1,218039333E-1
1,544634150E+3	1,195479620E-1
1,544634200E+3	1,288941290E-1
1,544634250E+3	1,237376230E-1
1,544634300E+3	1,277661433E-1
1,544634350E+3	1,416242537E-1
1,544634400E+3	1,446859294E-1
1,544634450E+3	1,762695336E-1
1,544634500E+3	1,651508153E-1
1,544634550E+3	1,704684631E-1
1,544634600E+3	1,889996612E-1
1,544634650E+3	1,804591958E-1
1,544634700E+3	2,365362210E-1
1,544634750E+3	2,284791761E-1
1,544634800E+3	2,165547503E-1
1,544634850E+3	3,050211177E-1
1,544634900E+3	2,676364177E-1
1,544634950E+3	2,868121895E-1
1,544635000E+3	3,311259565E-1
1,544635050E+3	3,222632021E-1
1,544635100E+3	3,142061531E-1
1,544635150E+3	3,933263931E-1
1,544635200E+3	3,733449028E-1
1,544635250E+3	5,101537152E-1
1,544635300E+3	4,595553861E-1
1,544635350E+3	5,697759779E-1
1,544635400E+3	7,069073070E-1
1,544635450E+3	6,413227355E-1
1,544635500E+3	7,144809581E-1
1,544635550E+3	7,799044382E-1
1,544635600E+3	8,777174651E-1
1,544635650E+3	1,047399983E+0
1,544635700E+3	1,094614656E+0
1,544635750E+3	1,171157283E+0
1,544635800E+3	1,231102308E+0
1,544635850E+3	1,225140031E+0
1,544635900E+3	1,300554814E+0
1,544635950E+3	1,423023465E+0
1,544636000E+3	1,395790282E+0
1,544636050E+3	1,405781153E+0
1,544636100E+3	1,423184609E+0
1,544636150E+3	1,395790282E+0
1,544636200E+3	1,308611954E+0
1,544636250E+3	1,347447386E+0
1,544636300E+3	1,236420014E+0
1,544636350E+3	1,203869212E+0
1,544636400E+3	1,175185845E+0
1,544636450E+3	1,200001791E+0
1,544636500E+3	1,007436735E+0
1,544636550E+3	1,150369908E+0
1,544636600E+3	9,608666863E-1
1,544636650E+3	1,013560134E+0
1,544636700E+3	9,110738283E-1
1,544636750E+3	9,510370257E-1
1,544636800E+3	8,266355244E-1
1,544636850E+3	7,430030115E-1
1,544636900E+3	7,707193655E-1
1,544636950E+3	7,459035598E-1
1,544637000E+3	6,646882413E-1
1,544637050E+3	5,762216298E-1
1,544637100E+3	5,443156565E-1
1,544637150E+3	5,148268104E-1
1,544637200E+3	4,408630149E-1
1,544637250E+3	3,967103555E-1
1,544637300E+3	4,020280108E-1
1,544637350E+3	3,061491045E-1
1,544637400E+3	3,229077660E-1
1,544637450E+3	2,576456803E-1
1,544637500E+3	2,903572904E-1
1,544637550E+3	2,555508484E-1
1,544637600E+3	2,288014579E-1
1,544637650E+3	1,919001967E-1
1,544637700E+3	1,898053655E-1
1,544637750E+3	1,575771959E-1
1,544637800E+3	1,424299578E-1
1,544637850E+3	1,317946637E-1
1,544637900E+3	1,351786209E-1
1,544637950E+3	1,267992984E-1
1,544638000E+3	1,140691746E-1
1,544638050E+3	1,097183729E-1
1,544638100E+3	1,008556290E-1
1,544638150E+3	9,118718155E-2
1,544638200E+3	9,618254604E-2
1,544638250E+3	8,651409873E-2
1,544638300E+3	8,313014226E-2
1,544638350E+3	7,990732662E-2
1,544638400E+3	6,604921982E-2
1,544638450E+3	6,814404987E-2
1,544638500E+3	7,136686536E-2
1,544638550E+3	6,395438978E-2
1,544638600E+3	6,202070054E-2
1,544638650E+3	6,604921982E-2
1,544638700E+3	5,960358900E-2
